Year,LANDAVERAGETEMPERATURE,LANDMAXTEMPERATURE,LANDMINTEMPERATURE,LANDANDOCEANAVERAGETEMPERATURE
1750,8.719363636363637,,,
1751,7.9761428571428565,,,
1752,5.779833333333333,,,
1753,8.388083333333332,,,
1754,8.469333333333333,,,
1755,8.355583333333334,,,
1756,8.849583333333333,,,
1757,9.022,,,
1758,6.7435833333333335,,,
1759,7.985083333333333,,,
1760,7.1851666666666665,,,
1761,8.772499999999999,,,
1762,8.6065,,,
1763,7.49675,,,
1764,8.400333333333334,,,
1765,8.251916666666666,,,
1766,8.405666666666667,,,
1767,8.2215,,,
1768,6.781333333333333,,,
1769,7.694583333333333,,,
1770,7.691916666666667,,,
1771,7.853166666666667,,,
1772,8.1935,,,
1773,8.2215,,,
1774,8.772166666666667,,,
1775,9.183083333333334,,,
1776,8.304,,,
1777,8.25625,,,
1778,8.542250000000001,,,
1779,8.98325,,,
1780,9.432916666666666,,,
1781,8.102583333333333,,,
1782,7.90125,,,
1783,7.680833333333333,,,
1784,7.861999999999999,,,
1785,7.3629999999999995,,,
1786,8.258166666666666,,,
1787,8.031833333333333,,,
1788,8.447166666666666,,,
1789,8.334166666666667,,,
1790,7.982333333333333,,,
1791,8.234250000000001,,,
1792,8.089,,,
1793,8.229166666666666,,,
1794,8.526000000000002,,,
1795,8.350333333333333,,,
1796,8.270999999999999,,,
1797,8.510583333333333,,,
1798,8.670250000000001,,,
1799,8.50575,,,
1800,8.484250000000001,,,
1801,8.589666666666666,,,
1802,8.578166666666666,,,
1803,8.503,,,
1804,8.844833333333332,,,
1805,8.56275,,,
1806,8.434083333333334,,,
1807,8.281416666666667,,,
1808,7.626833333333333,,,
1809,7.076416666666667,,,
1810,6.922666666666667,,,
1811,6.859500000000001,,,
1812,7.04625,,,
1813,7.739916666666667,,,
1814,7.59175,,,
1815,7.239333333333334,,,
1816,6.9375,,,
1817,6.975666666666666,,,
1818,7.828916666666667,,,
1819,7.369166666666666,,,
1820,7.61625,,,
1821,8.090083333333334,,,
1822,8.188333333333334,,,
1823,7.718666666666667,,,
1824,8.547166666666667,,,
1825,8.389333333333333,,,
1826,8.356583333333333,,,
1827,8.80875,,,
1828,8.165333333333333,,,
1829,7.941833333333332,,,
1830,8.51675,,,
1831,7.639166666666667,,,
1832,7.450166666666667,,,
1833,8.013,,,
1834,8.146749999999999,,,
1835,7.392499999999999,,,
1836,7.695833333333333,,,
1837,7.375666666666667,,,
1838,7.514916666666667,,,
1839,7.63225,,,
1840,7.796250000000001,,,
1841,7.688166666666667,,,
1842,8.02275,,,
1843,8.173666666666668,,,
1844,7.646333333333334,,,
1845,7.851166666666667,,,
1846,8.55275,,,
1847,8.086,,,
1848,7.979499999999999,,,
1849,7.984416666666667,,,
1850,7.900666666666667,19.233,-3.2060000000000004,14.867166666666668
1851,8.178583333333334,17.360999999999994,-3.242,14.991833333333334
1852,8.100166666666667,17.795,-2.7550000000000003,15.0065
1853,8.041833333333333,19.308,-4.015,14.955166666666669
1854,8.2105,20.426,-4.109,14.991
1855,8.11075,19.012,-4.947,15.021083333333335
1856,7.995916666666666,18.386,-3.727,14.879333333333333
1857,7.758166666666667,18.717,-5.407,14.758249999999999
1858,8.10025,18.968,-4.1480000000000015,14.8815
1859,8.252,19.444000000000003,-3.422,14.929916666666665
1860,7.960833333333333,19.163,-3.232,14.882916666666667
1861,7.8465,19.37,-3.256,14.800666666666666
1862,7.558583333333334,20.663,-4.346,14.740083333333333
1863,8.111833333333333,18.408,-2.5860000000000003,14.935749999999999
1864,7.983583333333333,18.909,-3.848,14.896500000000001
1865,8.177833333333334,19.111,-3.2119999999999997,14.996666666666668
1866,8.292166666666667,20.369,-2.9530000000000003,15.057
1867,8.436333333333334,20.032,-3.678,15.058666666666667
1868,8.247916666666667,20.504,-3.478,15.096916666666667
1869,8.432083333333333,19.825,-3.173,15.0655
1870,8.201333333333332,20.29,-3.5269999999999997,15.004333333333333
1871,8.115083333333333,19.837,-3.677,15.005916666666666
1872,8.193833333333332,19.705,-3.418,15.019333333333334
1873,8.351083333333333,19.974,-3.719,15.04925
1874,8.4335,19.82,-3.764,14.957
1875,7.859583333333333,20.534,-4.7170000000000005,14.921916666666666
1876,8.080083333333333,19.855,-3.325,14.909416666666667
1877,8.539583333333333,20.733,-3.1620000000000004,15.282666666666666
1878,8.829749999999999,20.308,-3.083,15.357416666666666
1879,8.165833333333333,19.637,-3.531,15.064416666666666
1880,8.11875,20.037,-3.767,15.008666666666668
1881,8.270916666666666,20.295,-3.687,15.087166666666667
1882,8.128916666666667,19.832,-3.0669999999999997,15.056583333333334
1883,7.976916666666667,20.457,-4.519,14.96325
1884,7.773666666666666,19.569000000000003,-4.118,14.83325
1885,7.919666666666667,20.205,-4.621,14.854416666666665
1886,7.9545,20.004,-3.884,14.83525
1887,7.914916666666667,19.899,-4.678000000000001,14.816
1888,8.0905,20.063,-4.2989999999999995,14.994083333333334
1889,8.319,20.315,-4.053000000000001,15.113416666666666
1890,7.971666666666667,19.718,-4.24,14.84075
1891,8.019333333333334,19.849,-4.465,14.943833333333332
1892,8.065833333333332,19.82,-3.93,14.8825
1893,8.05675,20.005,-5.3450000000000015,14.91225
1894,8.161,19.851,-4.0390000000000015,14.91475
1895,8.147,19.614,-4.319,14.969
1896,8.214916666666667,19.886,-3.4080000000000004,15.090583333333333
1897,8.293333333333333,20.297,-3.5730000000000004,15.075333333333333
1898,8.177999999999999,20.145,-3.651,14.886916666666666
1899,8.396333333333333,20.168,-3.4419999999999997,15.048333333333334
1900,8.501583333333334,19.897,-4.102,15.143916666666668
1901,8.541916666666667,20.34,-3.491,15.073333333333332
1902,8.304416666666667,20.2,-3.031,14.958333333333334
1903,8.220166666666666,19.787,-3.1870000000000003,14.836583333333332
1904,8.090916666666667,19.678,-3.86,14.810416666666669
1905,8.225166666666667,19.877,-3.951,14.954666666666666
1906,8.379083333333332,20.058,-3.637000000000001,15.031916666666667
1907,7.947166666666667,19.626,-3.867,14.874833333333333
1908,8.186083333333332,19.748,-3.548,14.838166666666666
1909,8.17825,19.787,-4.298,14.790333333333335
1910,8.223,19.952,-3.2700000000000005,14.819083333333333
1911,8.177,19.987,-3.969,14.776000000000002
1912,8.165416666666667,19.729,-3.305,14.877166666666668
1913,8.297749999999999,20.256,-3.657,14.90875
1914,8.5905,20.065,-2.551,15.07625
1915,8.593166666666667,20.553,-3.4160000000000004,15.143749999999999
1916,8.22525,20.012,-3.4019999999999997,14.901333333333334
1917,8.023333333333333,20.083,-3.782,14.809750000000001
1918,8.130833333333333,19.916,-3.802000000000001,14.959833333333334
1919,8.38225,20.146,-3.3960000000000004,15.006750000000002
1920,8.358749999999999,20.121,-3.109,15.02625
1921,8.571,20.42,-2.8160000000000003,15.102083333333335
1922,8.408,20.098,-3.684,15.012333333333332
1923,8.422166666666667,19.81,-3.1950000000000003,15.027833333333334
1924,8.506833333333335,20.057,-3.502,15.039333333333333
1925,8.534416666666667,19.971,-3.3139999999999996,15.090333333333334
1926,8.728833333333332,19.998,-2.307,15.241083333333334
1927,8.522083333333333,20.237,-3.5120000000000005,15.122250000000001
1928,8.632166666666667,20.005,-2.631,15.132249999999999
1929,8.242416666666667,19.652,-3.883,14.967416666666667
1930,8.633583333333332,20.252,-3.1689999999999996,15.1725
1931,8.71925,20.399,-3.123,15.228250000000001
1932,8.70525,20.093,-3.2300000000000004,15.188
1933,8.33825,20.037,-3.4530000000000003,15.012916666666667
1934,8.628333333333334,20.14,-3.131,15.1445
1935,8.51575,20.173,-3.618,15.118833333333333
1936,8.554,20.443,-3.53,15.166166666666667
1937,8.698333333333332,20.154,-3.216,15.3005
1938,8.863666666666667,20.249,-2.5970000000000004,15.293083333333334
1939,8.760333333333334,20.26,-2.7710000000000004,15.302333333333332
1940,8.764666666666667,20.408,-3.35,15.372083333333334
1941,8.768666666666666,20.578000000000003,-3.01,15.384666666666668
